Topic_Id,Topic_Keywords,Num_Documents,Perc_Documents,Relevance (SY),LW comments
0,"political, study, social, politics, discourse, analysis, movement, democracy, democratic, party",249,0.0083,No,
1,"disease, inflammatory, inflammation, therapeutic, chronic, pro, macrophage, model, treatment, mouse",122,0.0041,Yes,
2,"delivery, release, deliver, based, develop, oa, strategy, targeting, dual, carrier",55,0.0018,Yes,
3,"emission, fuel, gas, co2, carbon, reduction, combustion, greenhouse, engine, fossil",211,0.007,No,
4,"liver, development, sport, aim, major, event, advanced, hcc, target, fatty",47,0.0016,Yes,
5,"movement, home, people, rehabilitation, life, motor, system, limb, bike, motion",139,0.0046,Yes,
6,"chain, supply, business, market, sector, demand, based, product, cps, entire",58,0.0019,No,
7,"receptor, signalling, signaling, role, signal, function, activation, cell, mechanism, regulation",126,0.0042,Yes,
8,"public, citizen, community, engagement, private, government, stakeholder, awareness, service, china",103,0.0034,No,
9,"ocean, marine, sea, ice, coastal, atlantic, sheet, future, change, global",151,0.005,No,
10,"ecosystem, specie, ecological, biodiversity, community, conservation, ecology, environmental, diversity, habitat",233,0.0077,Yes,
11,"tissue, cell, organ, vitro, vivo, culture, model, disease, human, kidney",174,0.0058,Yes,
12,"knowledge, transfer, development, base, result, expertise, improve, scientific, specific, enable",8,0.0003,No,
13,"scale, large, small, scaling, size, larger, demonstrated, enable, wide, range",,,No,
14,"ancient, archaeological, mediterranean, landscape, analysis, human, archaeology, study, age, site",307,0.0102,No,
15,"training, research, academic, researcher, esr, skill, programme, partner, network, train",594,0.0197,No,
16,"europe, european, country, spain, france, germany, italy, uk, refugee, netherlands",23,0.0008,No,
17,"molecular, molecule, assembly, single, complex, structure, interaction, structural, protein, channel",113,0.0038,Yes,
18,"activity, program, proposal, related, development, objective, main, research, present, aspect",2,0.0001,No,
19,"framework, cluster, research, challenge, aspect, address, focus, related, addressing, including",10,0.0003,No,
20,"analysis, method, study, analytical, approach, technique, provide, comprehensive, analyse, methodology",6,0.0002,No,
21,"production, biomass, bio, process, waste, product, plant, feedstock, biogas, conversion",266,0.0088,No,
22,"composite, material, part, fibre, weight, manufacturing, process, component, lightweight, cost",258,0.0086,No,
23,"microbial, gut, microbiota, microbiome, intestinal, host, microbe, human, community, interaction",136,0.0045,Yes,
24,"year, decade, recent, past, recently, pi, progress, made, shown, remains",3,0.0001,No,
25,"gender, woman, research, study, inequality, equality, practice, social, comparative, men",166,0.0055,No,
26,"enhance, benefit, enhanced, cooperation, objective, improve, area, aim, capacity, close",14,0.0005,No,
